PCE,VOC,JSC,FF
1.47,523.0,4.76,0.59
2.02,543.0,5.64,0.66
7.39,716.0,16.2,0.63
3.23,610.0,7.5,0.707
4.49,630.0,10.5,0.677
0.62,516.0,1.99,0.61
0.89,552.0,2.42,0.66
1.31,516.0,3.96,0.64
1.97,564.0,5.65,0.62
0.72,530.0,2.46,0.55
1.42,600.0,3.23,0.72
5.67,674.0,10.99,0.77
2.1,527.0,6.6,0.589
2.1,525.0,6.9,0.584
2.7,535.0,8.2,0.624
2.1,523.0,6.5,0.629
0.8,471.0,2.8,0.609
1.1,486.0,3.6,0.632
2.93,582.0,7.8,0.65
3.17,583.0,8.48,0.64
1.56,516.0,5.01,0.6
2.35,543.0,6.99,0.62
1.32,500.0,4.68,0.56
1.91,521.0,6.39,0.57
1.78,495.0,6.38,0.56
2.34,514.0,6.87,0.66
1.19,532.0,3.39,0.66
2.32,542.0,7.22,0.59
4.47,600.0,11.3,0.66
4.49,600.0,11.2,0.67
3.74,590.0,9.82,0.65
4.53,597.0,12.0,0.63
3.44,537.0,10.0,0.64
3.0,527.0,8.53,0.67
2.77,524.0,8.35,0.63
2.92,522.0,8.84,0.63
2.7,560.0,7.5,0.64
3.61,580.0,9.27,0.67
1.79,554.0,4.79,0.67
3.27,568.0,8.54,0.67
7.66,646.0,15.8,0.75
2.8,620.0,6.5,0.7
1.23,385.0,5.76,0.55
5.16,657.0,11.94,0.66
5.27,665.0,11.04,0.72
6.26,738.0,12.56,0.68
8.01,683.0,17.87,0.66
5.85,592.0,14.64,0.68
6.04,680.0,12.59,0.71
6.67,690.0,13.54,0.71
6.33,680.0,13.12,0.71
2.93,582.0,7.8,0.65
3.17,583.0,8.48,0.64
1.19,532.0,3.39,0.66
2.32,542.0,7.22,0.59
4.47,600.0,11.3,0.66
4.49,600.0,11.2,0.67
6.04,746.0,12.38,0.66
5.23,649.0,12.33,0.65
5.65,706.0,12.0,0.67
5.24,738.0,9.96,0.71
6.71,722.0,13.69,0.68
2.6,410.0,10.01,0.64
1.51,520.0,4.16,0.7
2.03,600.0,5.2,0.64
1.91,630.0,4.36,0.69
2.4,560.0,7.0,0.62
5.01,580.0,12.9,0.67
4.13,560.0,11.71,0.63
1.79,453.0,5.62,0.7
2.54,512.0,6.88,0.72
4.06,549.0,10.9,0.68
1.18,605.0,2.57,0.76
2.58,583.0,6.49,0.68
4.65,695.0,9.61,0.7
3.12,655.0,7.08,0.67
1.56,590.0,3.453,0.6519
0.54,581.0,1.253,0.6345
3.47,620.0,7.547,0.6304
4.1,676.0,8.9,0.68
2.42,610.0,5.78,0.68
3.44,570.0,9.25,0.66
1.67,600.0,4.16,0.68
2.75,580.0,7.13,0.67
1.39,570.0,3.76,0.65
3.27,630.0,7.88,0.66
2.47,582.0,5.89,0.72
3.6,617.0,8.33,0.7
2.67,601.0,6.93,0.64
8.32,645.0,1.7,0.767
3.75,580.0,10.89,0.6
3.3,580.0,8.9,0.65
2.3,550.0,6.3,0.65
3.5,610.0,10.3,0.58
2.8,580.0,8.0,0.6
4.0,640.0,9.7,0.65
1.4,570.0,3.4,0.7
3.75,524.0,11.4,0.63
5.65,543.0,15.5,0.67
7.46,675.0,15.29,0.723
8.3,698.0,17.14,0.694
6.69,639.0,14.6,0.717
7.01,643.0,15.59,0.699
5.85,692.0,14.27,0.59
1.6,580.0,4.0,0.69
0.6,520.0,2.2,0.53
2.7,590.0,8.2,0.55
2.9,570.0,7.8,0.65
2.6,570.0,6.6,0.69
2.4,540.0,6.3,0.69
4.2,590.0,10.5,0.67
4.9,660.0,11.9,0.64
4.2,740.0,8.9,0.63
3.1,610.0,7.3,0.72
5.2,710.0,11.3,0.66
5.68,660.0,14.2,0.6
5.0,710.0,12.6,0.57
4.0,570.0,10.8,0.65
3.4,660.0,7.2,0.71
4.6,690.0,9.5,0.71
1.02,583.0,3.09,0.56
1.6,573.0,4.07,0.69
2.19,575.0,5.75,0.66
2.78,558.0,7.91,0.63
4.2,704.0,9.18,0.65
5.16,735.0,10.33,0.68
0.72,455.0,2.3,0.69
3.45,553.0,8.9,0.7
3.18,540.0,8.3,0.71
2.94,560.0,7.5,0.7
4.9,710.0,9.6,0.71
4.6,660.0,9.9,0.7
3.9,760.0,7.2,0.72
1.9,630.0,4.1,0.75
4.6,700.0,9.0,0.72
5.0,700.0,10.0,0.71
4.8,640.0,11.5,0.66
4.4,760.0,8.9,0.65
2.7,620.0,5.9,0.72
3.4,610.0,9.1,0.62
0.9,490.0,3.0,0.61
2.7,600.0,7.2,0.63
4.5,710.0,9.5,0.68
4.8,670.0,10.2,0.69
1.1,510.0,3.5,0.64
3.4,640.0,8.6,0.63
2.7,590.0,6.9,0.68
4.1,640.0,9.7,0.66
1.9,540.0,5.5,0.64
1.6,590.0,5.2,0.54
6.2,670.0,14.3,0.65
1.78,423.0,6.04,0.7
5.59,593.0,16.26,0.57
1.24,489.0,3.4,0.74
8.21,640.0,18.47,0.69
7.19,688.0,14.26,0.73
7.26,655.0,17.52,0.65
5.91,558.0,18.97,0.55
5.45,659.0,11.42,0.724
6.36,671.0,13.03,0.728
5.04,549.0,12.71,0.721
4.55,576.0,10.92,0.724
6.6,601.0,15.48,0.709
7.15,650.0,15.09,0.729
6.08,710.0,11.01,0.78
0.61,870.0,1.11,0.6228
0.98,700.0,2.14,0.66
4.56,651.0,10.95,0.64
6.08,688.0,13.2,0.67
5.56,660.0,11.4,0.74
8.22,787.0,15.58,0.67
7.25,754.0,14.73,0.65
7.0,735.0,15.78,0.6
4.53,950.0,7.75,0.62
4.9,584.0,12.5,0.68
5.7,606.0,13.7,0.69
5.4,598.0,13.4,0.67
5.8,601.0,14.4,0.67
6.3,605.0,15.2,0.68
6.2,582.0,15.0,0.71
5.4,595.0,13.4,0.68
6.0,608.0,14.1,0.7
5.6,589.0,13.2,0.72
5.63,710.0,10.43,0.76
4.24,680.0,8.38,0.76
4.82,680.0,9.44,0.75
0.9,572.0,2.32,0.706
6.3,678.0,12.91,0.717
8.1,688.0,16.44,0.712
3.3,720.0,6.4,0.71
0.81,880.0,1.43,0.6349
6.52,740.0,12.51,0.7
1.9,548.0,5.3,0.66
1.8,558.0,4.9,0.66
2.2,554.0,5.9,0.619
5.85,720.0,10.63,0.77
5.43,700.0,10.04,0.77
7.3,684.0,14.46,0.742
2.92,553.0,8.28,0.62
3.78,621.0,7.76,0.68
3.44,592.0,8.28,0.66
2.11,545.0,6.16,0.61
5.2,726.0,10.59,0.68
5.5,615.0,13.84,0.65
8.2,694.0,16.36,0.72
7.1,658.0,15.84,0.68
5.96,664.0,13.46,0.672
6.21,691.0,13.07,0.683
5.07,749.0,9.43,0.722
7.26,694.0,15.47,0.672
7.08,731.0,13.79,0.703
5.2,744.0,9.89,0.709
5.23,815.0,9.54,0.673
5.59,741.0,11.12,0.678
6.02,786.0,11.0,0.661
6.68,724.0,13.26,0.661
5.86,797.0,10.85,0.644
6.35,737.0,12.31,0.666
5.43,799.0,10.18,0.634
6.04,722.0,12.14,0.655
5.51,704.3,10.41,0.7511
2.36,540.0,6.43,0.68
2.74,607.0,6.96,0.65
3.14,626.0,7.25,0.69
4.03,611.0,9.43,0.7
5.26,630.0,11.7,0.71
5.19,580.0,12.56,0.7
6.47,617.0,13.76,0.75
5.5,820.0,8.7,0.77
3.8,750.0,6.1,0.81
5.41,687.0,12.79,0.61
12.5,956.0,17.03,0.77
2.4,610.0,5.9,0.67
2.6,670.0,5.8,0.66
2.2,520.0,6.7,0.63
4.04,693.0,8.11,0.719
2.68,662.0,6.43,0.63
6.55,697.0,15.62,0.6
4.85,669.0,12.18,0.6
7.08,717.0,16.59,0.59
5.01,646.0,12.29,0.63
3.9,640.0,10.68,0.57
6.35,686.0,14.99,0.62
6.61,694.0,15.97,0.6
5.45,671.0,13.65,0.6
6.54,683.0,16.52,0.58
4.93,665.0,12.99,0.57
3.73,606.0,8.18,0.75
5.27,690.0,10.4,0.73
3.28,658.0,6.54,0.76
4.58,738.0,8.19,0.76
5.8,579.0,18.79,0.534
3.85,552.0,12.31,0.566
5.3,584.0,15.37,0.591
3.91,668.0,9.65,0.607
7.64,620.0,17.15,0.72
7.07,670.0,16.85,0.628
10.5,885.0,16.03,0.742
4.68,672.0,9.912,0.7027
5.67,780.0,11.21,0.65
4.44,692.0,8.85,0.726
3.59,597.0,9.95,0.61
10.6,897.0,15.81,0.744
6.91,721.0,16.05,0.6
7.71,709.0,18.33,0.59
4.7,644.0,13.0,0.56
5.03,646.0,13.86,0.56
6.08,680.0,15.26,0.59
6.94,689.0,17.22,0.58
4.06,758.0,9.93,0.54
5.4,693.0,14.65,0.53
5.58,678.0,15.7,0.52
4.7,682.0,13.14,0.52
4.71,667.0,13.51,0.52
6.2,732.0,15.78,0.53
6.35,705.0,17.0,0.53
3.93,754.0,9.52,0.55
0.67,370.0,2.81,0.64
4.8,494.0,14.31,0.68
9.57,702.0,12.85,0.7
1.82,638.0,4.1,0.697
2.85,650.0,6.27,0.699
2.62,632.0,5.89,0.705
1.48,589.0,3.78,0.663
5.48,667.0,16.31,0.5
4.55,690.0,12.62,0.52
5.04,677.0,14.31,0.52
6.03,722.0,15.29,0.54
5.88,711.0,16.38,0.5
5.73,810.0,11.78,0.6
5.6,754.0,12.06,0.62
6.23,730.0,12.9,0.67
5.84,563.0,18.2,0.57
1.27,456.0,4.5,0.62
3.64,605.0,9.7,0.62
3.32,625.0,8.3,0.64
2.78,639.0,6.5,0.67
2.37,650.0,5.3,0.69
4.5,600.0,12.3,0.61
3.64,619.0,8.9,0.66
3.22,632.0,7.6,0.67
3.16,655.0,7.0,0.69
5.7,730.0,11.4,0.69
5.1,681.0,12.0,0.62
5.2,725.0,11.6,0.63
6.1,720.0,13.2,0.65
6.74,750.0,12.23,0.73
5.53,760.0,9.78,0.74
5.26,523.0,14.72,0.68
7.68,722.0,15.53,0.68
5.49,714.0,11.54,0.67
9.52,708.0,19.23,0.7
4.48,745.0,10.22,0.59
4.2,782.0,8.92,0.6
5.05,790.0,10.51,0.61
2.86,665.0,6.47,0.672
3.84,657.0,8.42,0.694
4.46,717.0,9.05,0.687
6.3,749.0,12.54,0.671
1.32,650.0,3.24,0.627
1.1,597.0,2.51,0.73
2.27,662.0,4.62,0.74
6.74,785.0,12.34,0.7
5.51,663.0,12.25,0.68
4.5,855.0,7.21,0.73
4.37,815.0,8.08,0.67
7.17,765.0,14.2,0.66
6.37,777.0,12.3,0.666
1.99,875.0,3.5,0.648
6.27,715.0,13.5,0.65
5.83,715.0,13.0,0.627
1.99,875.0,3.5,0.648
3.81,540.0,11.9,0.59
4.81,560.0,13.9,0.61
5.72,580.0,15.0,0.65
3.37,540.0,10.6,0.59
4.55,560.0,13.0,0.63
7.3,620.0,17.9,0.66
4.59,425.0,16.17,0.67
5.57,691.6,11.96,0.6737
3.85,578.5,9.89,0.6729
5.29,676.3,11.39,0.6866
6.01,687.5,12.29,0.7118
4.76,706.0,11.07,0.61
4.83,731.0,10.71,0.62
5.21,757.0,10.9,0.63
5.1,730.0,9.37,0.75
5.43,707.0,12.62,0.61
6.02,714.0,13.22,0.64
6.12,745.0,12.83,0.64
5.65,707.0,10.96,0.73
9.67,697.0,20.85,0.666
7.09,679.0,14.89,0.701
7.11,661.0,16.56,0.65
6.49,677.0,13.83,0.692
5.02,668.0,10.45,0.718
5.21,652.0,11.77,0.679
2.15,660.0,5.13,0.67
5.31,710.0,12.6,0.6
5.71,690.0,13.7,0.61
3.57,640.0,8.64,0.65
2.82,660.0,6.82,0.63
4.32,564.0,13.0,0.59
0.63,476.0,2.2,0.6
5.1,464.0,16.15,0.68
7.2,679.0,14.77,0.72
9.45,735.0,18.4,0.7
10.26,715.0,6.58,0.72
9.9,720.0,13.15,0.69
9.77,721.0,19.8,0.68
9.83,701.0,6.34,0.73
9.49,704.0,19.76,0.68
6.84,702.0,14.24,0.68
5.11,693.0,11.16,0.66
7.85,663.0,16.67,0.71
9.2,661.0,6.21,0.74
8.94,660.0,12.25,0.73
8.64,663.0,18.11,0.72
5.3,797.0,10.33,0.64
5.04,793.0,9.45,0.67
4.36,720.0,9.38,0.64
6.65,760.0,12.7,0.69
7.6,810.0,13.39,0.7
2.23,620.0,5.47,0.66
4.12,640.0,10.44,0.62
1.27,650.0,2.98,0.66
2.92,660.0,6.94,0.64
1.78,620.0,4.62,0.62
0.83,600.0,2.31,0.6
7.36,690.0,16.59,0.64
6.3,680.0,14.16,0.66
6.2,680.0,14.08,0.65
6.12,680.0,13.44,0.67
7.44,661.0,15.21,0.74
4.14,666.0,9.0,0.69
6.6,711.0,12.3,0.76
7.2,762.0,12.7,0.74
3.0,662.0,6.45,0.69
3.4,663.0,6.83,0.74
4.36,610.0,9.99,0.71
4.18,640.0,9.77,0.67
6.58,715.0,12.48,0.74
7.74,714.0,15.11,0.72
7.48,737.0,13.73,0.74
5.95,712.0,11.43,0.73
6.87,703.0,14.04,0.7
6.85,732.0,12.58,0.74
4.3,703.0,9.89,0.62
4.6,720.0,9.85,0.645
6.1,732.0,12.0,0.7
4.0,682.0,9.1,0.65
3.98,700.0,7.6,0.75
4.1,650.0,8.72,0.73
6.59,678.0,14.03,0.69
5.3,659.0,11.82,0.68
6.86,826.0,11.54,0.72
2.52,630.0,6.05,0.66
6.82,824.0,11.5,0.72
9.05,704.0,18.08,0.71
7.9,917.0,12.02,0.719
7.87,915.0,12.35,0.7
7.69,825.0,13.71,0.68
7.81,885.0,12.79,0.69
8.29,849.0,14.57,0.67
8.83,907.0,14.32,0.68
2.57,680.0,6.45,0.59
2.65,640.0,7.2,0.58
4.31,740.0,9.03,0.64
3.0,640.0,6.47,0.73
2.69,650.0,6.21,0.72
3.39,650.0,7.44,0.7
1.89,600.0,4.65,0.68
1.02,616.0,3.27,0.51
1.08,611.0,3.55,0.5
1.7,612.0,4.49,0.62
6.57,752.0,12.06,0.72
7.09,741.0,13.13,0.73
7.48,739.0,13.73,0.74
7.23,707.0,14.73,0.69
1.45,573.0,3.29,0.77
1.17,546.0,2.84,0.76
7.53,689.0,15.09,0.72
6.37,677.0,12.71,0.74
2.0,650.0,4.5,0.7
3.83,585.0,8.97,0.73
1.94,574.0,4.35,0.76
8.26,678.0,17.76,0.69
2.5,860.0,4.22,0.68
2.9,760.0,5.33,0.72
3.9,760.0,7.89,0.65
3.4,780.0,7.9,0.55
3.0,800.0,6.86,0.55
5.87,836.0,10.35,0.678
5.56,822.0,10.74,0.63
4.97,853.0,8.71,0.669
4.48,720.0,10.98,0.57
4.08,640.0,10.31,0.62
4.23,615.0,11.8,0.58
5.35,675.0,12.65,0.63
8.8,756.0,15.4,0.76
5.1,683.0,9.6,0.78
5.4,603.0,11.8,0.75
4.8,671.0,10.1,0.7
5.6,810.0,9.4,0.74
6.6,622.0,14.9,0.71
6.02,632.0,13.8,0.69
2.87,567.0,9.05,0.56
2.79,543.0,8.02,0.64
5.77,615.0,13.6,0.69
7.3,804.0,12.24,0.742
2.47,617.0,5.48,0.73
7.81,704.0,16.16,0.69
6.53,649.0,13.79,0.73
6.71,634.0,15.4,0.69
6.91,679.0,14.28,0.71
4.23,669.0,10.11,0.63
8.5,679.0,18.27,0.69
7.24,655.0,15.27,0.72
6.87,682.0,14.7,0.7
5.57,680.0,12.0,0.68
5.34,680.0,11.3,0.69
6.22,700.0,12.7,0.7
6.27,640.0,15.5,0.63
4.84,616.0,13.31,0.59
4.86,715.0,11.32,0.6
4.71,712.0,11.02,0.6
7.1,735.0,1.55,0.782
7.5,757.0,2.9,0.782
7.7,783.0,6.37,0.771
7.9,861.0,1.53,0.758
8.2,889.0,2.82,0.76
8.6,922.0,6.18,0.756
7.6,826.0,1.52,0.754
7.9,853.0,2.81,0.754
8.1,886.0,6.14,0.744
5.83,729.0,10.95,0.73
6.23,660.0,14.93,0.64
6.67,840.0,11.01,0.72
8.5,948.0,12.18,0.733
6.72,670.0,15.2,0.66
5.36,670.0,11.9,0.68
5.01,580.0,13.5,0.64
6.42,670.0,14.9,0.64
6.17,680.0,14.1,0.65
5.52,670.0,13.3,0.62
2.37,551.0,8.56,0.5
7.57,730.0,15.5,0.67
7.96,717.0,15.4,0.72
4.12,645.0,7.51,0.85
6.06,699.0,13.43,0.65
8.02,720.0,15.2,0.733
6.5,664.0,13.0,0.75
4.76,946.0,7.66,0.658
6.15,893.0,10.1,0.681
10.1,833.0,16.5,0.737
6.91,832.0,11.8,0.703
2.23,621.0,4.91,0.73
3.13,646.0,7.13,0.68
1.21,603.0,3.04,0.66
2.79,640.0,6.88,0.63
5.56,860.0,11.33,0.57
5.98,642.0,14.1,0.66
6.13,650.0,14.8,0.64
5.82,650.0,13.7,0.65
5.38,640.0,13.2,0.64
4.01,586.0,10.3,0.67
4.7,690.0,10.56,0.65
3.01,618.0,7.52,0.65
4.65,664.0,9.69,0.696
5.8,709.0,11.71,0.7086
6.72,690.0,13.72,0.71
7.05,710.0,14.01,0.71
7.64,770.0,13.79,0.72
2.75,735.0,5.42,0.69
2.73,635.0,6.55,0.66
1.7,580.0,4.56,0.64
7.42,641.0,16.13,0.718
8.6,664.0,17.45,0.742
5.95,680.0,14.5,0.61
6.04,650.0,15.6,0.6
4.11,610.0,11.4,0.59
4.73,640.0,11.1,0.66
6.15,630.0,16.0,0.61
5.41,610.0,15.2,0.58
6.4,680.0,14.17,0.66
3.0,670.0,6.6,0.68
1.55,735.0,2.89,0.73
6.26,650.0,15.44,0.62
6.1,630.0,16.04,0.61
4.7,830.0,7.6,0.74
4.4,760.0,7.78,0.74
9.3,770.0,1.92,0.79
9.6,790.0,3.58,0.78
9.7,820.0,7.74,0.76
9.4,850.0,15.31,0.73
10.2,760.0,2.08,0.8
10.3,790.0,3.88,0.78
10.1,820.0,8.32,0.74
4.77,560.0,14.2,0.6
3.02,541.0,10.7,0.52
2.97,530.0,11.0,0.51
3.16,600.0,8.55,0.62
3.81,580.0,11.15,0.59
2.4,484.0,7.58,0.65
4.23,727.0,7.72,0.75
5.45,656.0,11.44,0.73
6.11,668.0,12.61,0.73
8.4,840.0,14.25,0.7
6.7,680.0,15.2,0.65
7.17,793.6,12.08,0.748
6.66,746.9,12.02,0.742
7.27,769.1,13.84,0.683
2.13,590.0,5.56,0.65
5.21,619.0,13.52,0.62
5.68,628.0,13.92,0.65
4.56,657.0,10.53,0.66
4.65,577.0,12.92,0.62
5.65,541.0,15.96,0.65
4.87,580.0,12.48,0.67
4.43,624.0,11.79,0.6
3.89,567.0,10.32,0.66
6.03,625.0,14.53,0.66
4.43,597.0,12.43,0.6
5.66,650.0,11.46,0.76
6.26,700.0,12.26,0.73
8.72,811.0,14.1,0.77
8.86,901.0,13.4,0.74
5.98,670.0,12.69,0.7
5.66,680.0,12.06,0.69
4.7,690.0,9.75,0.7
6.76,680.0,14.63,0.68
7.45,730.0,14.44,0.7
4.66,670.0,10.13,0.68
3.64,551.0,10.13,0.65
3.59,553.0,10.38,0.63
4.44,606.0,10.79,0.68
4.19,705.0,9.47,0.63
3.53,618.0,8.19,0.697
3.53,618.0,8.21,0.696
2.85,700.0,6.09,0.668
3.5,691.0,6.77,0.749
2.86,664.0,5.85,0.738
3.03,655.0,6.08,0.761
2.37,718.0,4.55,0.724
2.59,736.0,4.53,0.776
5.36,720.0,12.23,0.61
5.59,730.0,12.45,0.62
5.94,720.0,12.61,0.65
6.3,740.0,13.51,0.63
5.92,720.0,13.49,0.61
5.88,700.0,12.6,0.67
5.94,720.0,13.69,0.6
5.88,740.0,12.72,0.62
6.0,720.0,13.85,0.64
6.11,720.0,13.49,0.63
5.76,750.0,12.92,0.59
3.93,684.0,8.77,0.65
5.06,727.0,10.59,0.66
5.59,707.0,12.24,0.65
6.62,750.0,12.31,0.717
7.26,700.0,14.51,0.715
6.5,720.0,12.58,0.718
3.57,640.0,8.47,0.659
3.73,650.0,8.32,0.689
4.87,690.0,10.87,0.649
6.21,700.0,11.56,0.767
6.22,680.0,13.57,0.674
4.81,690.0,10.11,0.689
1.91,590.0,5.82,0.556
5.96,700.0,12.08,0.705
4.25,650.0,9.39,0.696
3.92,620.0,8.65,0.73
3.21,600.0,7.68,0.696
5.86,720.0,10.87,0.738
4.02,670.0,8.01,0.749
3.97,670.0,8.01,0.774
3.06,600.0,7.24,0.702
8.06,724.0,16.28,0.684
0.69,483.0,2.09,0.68
0.83,508.0,2.39,0.68
3.81,588.0,9.74,0.67
4.14,605.0,9.78,0.7
3.44,572.0,9.36,0.64
1.32,532.0,3.89,0.64
3.24,531.0,9.78,0.62
2.7,483.0,10.81,0.52
6.29,699.0,14.2,0.63
5.47,728.0,11.93,0.63
5.13,725.0,12.18,0.58
5.62,735.0,11.58,0.66
6.04,752.0,12.51,0.64
5.4,719.0,12.53,0.6
6.0,722.0,12.86,0.65
6.1,646.0,13.4,0.7
4.2,616.0,9.3,0.73
2.89,610.0,7.4,0.64
1.41,530.0,5.1,0.52
4.37,660.0,9.2,0.72
2.36,610.0,6.9,0.56
6.01,740.0,12.08,0.67
7.01,750.0,13.83,0.67
7.2,741.0,14.34,0.676
5.27,710.0,11.25,0.65
6.41,730.0,13.2,0.66
6.51,725.0,13.56,0.658
4.22,680.0,9.26,0.66
5.38,690.0,11.5,0.67
5.3,680.0,11.79,0.65
4.5,690.0,9.5,0.69
2.24,580.0,5.55,0.7
2.63,600.0,6.43,0.67
6.34,710.0,13.4,0.67
6.75,730.0,14.59,0.64
4.12,630.0,9.12,0.717
6.51,660.0,14.79,0.667
7.03,700.0,14.25,0.705
3.0,690.0,6.85,0.63
1.58,560.0,4.45,0.63
5.12,690.0,11.3,0.66
6.42,722.0,13.42,0.66
6.1,708.0,13.68,0.63
6.01,727.0,12.91,0.64
5.89,732.0,13.28,0.61
6.73,709.0,13.91,0.68
0.61,498.0,1.92,0.63
7.42,739.4,16.02,0.63
6.91,749.4,15.02,0.61
8.24,719.2,17.83,0.64
7.2,729.2,15.89,0.62
6.31,749.5,13.16,0.639
6.94,749.5,14.52,0.638
7.35,739.4,15.94,0.624
5.24,776.0,12.0,0.5627
6.37,774.0,14.12,0.5827
1.88,674.0,4.2,0.666
6.8,776.0,12.42,0.71
6.39,773.0,12.06,0.69
6.46,794.0,11.78,0.69
7.41,792.0,12.82,0.73
7.7,804.0,13.25,0.73
7.23,813.0,12.3,0.72
5.51,680.0,10.99,0.74
4.8,688.0,9.4,0.737
4.78,672.0,10.27,0.69
4.52,710.0,9.48,0.67
4.88,726.0,10.46,0.64
2.75,583.0,6.5,0.73
1.19,524.0,3.1,0.73
1.29,526.0,3.4,0.72
1.14,525.0,3.0,0.73
3.27,590.0,7.8,0.71
2.64,562.0,6.4,0.73
3.49,630.0,8.1,0.68
3.86,704.0,8.1,0.68
4.36,668.0,9.4,0.69
5.33,760.0,9.7,0.72
7.83,690.0,16.94,0.67
7.62,660.0,16.29,0.71
8.27,720.0,15.76,0.73
2.0,602.0,4.7,0.71
2.3,664.0,4.8,0.72
6.71,720.0,13.5,0.69
6.0,760.0,11.11,0.71
3.06,790.0,6.64,0.59
2.0,700.0,4.62,0.62
2.0,579.0,5.6,0.62
3.61,663.0,8.2,0.67
4.23,709.0,9.1,0.66
4.59,720.0,9.4,0.68
2.76,570.0,7.3,0.65
4.5,697.0,8.5,0.759
3.4,601.0,7.84,0.73
4.02,600.0,8.79,0.76
3.77,678.0,7.5,0.75
4.88,669.0,9.88,0.74
4.01,610.0,8.66,0.76
4.93,770.0,8.59,0.75
3.33,700.0,6.42,0.74
2.43,720.0,4.67,0.72
1.49,620.0,3.78,0.63
3.52,559.0,9.89,0.64
3.92,513.0,12.24,0.62
3.33,596.0,8.72,0.64
4.36,540.0,13.66,0.59
4.41,536.0,13.27,0.62
5.35,574.0,15.5,0.6
5.41,633.0,14.45,0.59
5.98,644.0,14.77,0.63
5.48,647.0,13.61,0.62
3.5,680.0,7.78,0.66
1.8,670.0,4.35,0.62
4.41,648.0,9.58,0.71
2.18,520.0,5.83,0.72
1.48,590.0,3.71,0.67
6.8,700.0,13.26,0.73
7.04,760.0,12.57,0.74
4.1,710.0,8.6,0.67
6.6,800.0,11.6,0.71
7.2,823.0,12.1,0.72
1.7,505.0,5.3,0.65
3.5,613.0,8.5,0.67
5.2,655.0,11.6,0.68
1.81,540.0,4.73,0.71
1.25,540.0,3.13,0.73
3.45,610.0,8.1,0.7
5.63,757.0,11.1,0.67
5.25,750.0,10.6,0.66
3.02,644.0,6.9,0.68
4.7,637.0,10.4,0.71
2.84,740.0,6.1,0.63
6.13,860.0,10.8,0.66
4.85,820.0,9.7,0.61
2.29,700.0,5.2,0.63
4.22,710.0,8.5,0.7
2.86,467.0,8.56,0.71
3.15,411.0,11.21,0.68
4.64,534.0,13.16,0.66
4.59,520.0,12.94,0.67
5.3,550.0,15.03,0.63
7.0,688.2,14.16,0.716
3.21,650.0,7.08,0.7
5.33,660.0,13.39,0.6
2.61,410.0,9.37,0.68
5.93,661.0,11.74,0.764
6.54,664.0,13.38,0.736
6.8,673.0,13.56,0.745
7.05,693.0,14.49,0.702
0.97,689.0,2.19,0.64
3.52,559.0,9.89,0.64
1.18,615.0,2.78,0.69
1.89,662.0,4.1,0.695
1.99,541.0,5.45,0.67
1.29,586.0,3.19,0.691
1.58,580.0,3.99,0.684
2.25,612.0,5.51,0.6674
1.99,610.0,4.86,0.673
5.99,900.0,9.5,0.7
5.75,751.0,11.1,0.69
2.41,540.0,5.7,0.78
4.78,690.0,8.92,0.77
6.67,670.0,13.8,0.72
3.54,580.0,10.6,0.579
4.63,610.0,12.7,0.598
1.67,590.0,5.06,0.561
4.28,562.0,13.2,0.58
5.67,709.0,10.58,0.76
6.83,732.0,12.12,0.76
8.14,739.0,16.39,0.67
6.18,728.0,11.19,0.76
7.54,733.0,13.79,0.75
8.4,741.0,16.8,0.67
5.22,715.0,9.76,0.75
5.41,762.0,9.18,0.77
6.85,733.0,12.68,0.74
7.21,738.0,12.98,0.75
1.66,712.0,3.48,0.57
8.48,743.0,16.76,0.68
7.96,745.0,15.63,0.68
6.34,695.0,13.95,0.65
6.44,722.0,12.95,0.69
5.15,698.0,10.68,0.69
2.27,590.0,5.97,0.6439
3.15,705.0,6.88,0.6474
3.09,743.0,6.14,0.6773
3.8,746.0,8.96,0.5682
3.56,732.0,7.82,0.6211
0.82,509.0,2.63,0.6087
3.26,607.0,7.46,0.691
5.41,730.0,12.28,0.6043
5.9,670.0,11.9,0.741
6.2,686.0,12.5,0.731
6.3,690.0,12.3,0.738
5.8,697.0,11.3,0.742
2.6,614.0,5.9,0.726
3.4,642.0,7.4,0.731
6.42,718.7,12.21,0.732
7.77,720.4,14.57,0.74
6.6,663.7,14.01,0.71
7.43,740.0,15.33,0.66
5.49,670.0,12.66,0.65
2.3,522.0,8.57,0.52
1.8,526.0,6.83,0.5
3.77,546.0,10.44,0.66
2.91,524.0,8.35,0.67
1.15,517.0,3.21,0.69
1.11,474.0,3.57,0.66
7.8,777.0,13.35,0.749
7.0,723.0,12.4,0.779
4.8,860.0,9.06,0.61
3.09,708.0,5.54,0.788
5.14,726.0,8.78,0.807
6.89,702.8,13.86,0.705
6.88,775.0,11.88,0.747
6.39,720.3,11.82,0.751
7.67,744.3,14.32,0.72
4.49,810.0,9.22,0.6
3.94,730.0,8.43,0.67
4.0,670.0,8.67,0.66
4.41,740.0,8.9,0.7
4.03,700.0,8.49,0.68
4.11,740.0,8.58,0.7
4.15,730.0,8.41,0.7
4.32,710.0,8.83,0.66
3.38,700.0,7.17,0.68
5.39,660.0,11.91,0.69
1.02,832.0,1.67,0.622
3.16,612.0,7.01,0.627
3.0,587.0,7.36,0.69
1.12,618.0,2.6,0.6
2.03,608.0,4.78,0.7
6.66,686.0,15.05,0.6453
7.16,662.0,16.88,0.6403
