PCE,VOC,JSC,FF
6.49,734.0,13.01,0.68
4.64,674.0,10.02,0.69
4.4,679.0,9.13,0.71
6.14,705.0,12.63,0.69
7.13,748.0,14.02,0.68
6.63,710.0,12.96,0.71
7.3,636.0,18.692,0.6137
6.04,606.0,15.864,0.6287
2.02,530.0,5.63,0.68
4.47,690.0,9.36,0.69
6.72,645.0,15.18,0.69
5.4,708.0,11.69,0.653
2.8,706.0,7.14,0.556
4.34,662.0,9.77,0.671
2.83,635.0,6.71,0.66
1.65,800.0,3.33,0.62
2.81,920.0,4.47,0.68
6.6,715.0,12.4,0.741
7.0,708.0,13.7,0.724
6.7,706.0,13.1,0.723
7.1,710.0,13.6,0.736
6.9,702.0,13.1,0.748
1.9,429.0,6.0,0.734
0.9,412.0,2.9,0.737
1.8,440.0,5.6,0.738
0.8,412.0,2.5,0.729
1.4,404.0,4.9,0.726
0.5,402.0,1.9,0.694
3.56,740.0,6.98,0.69
4.13,740.0,7.86,0.71
3.26,628.0,6.94,0.75
5.16,656.0,11.65,0.68
6.0,720.0,11.1,0.749
6.1,615.0,14.5,0.67
5.4,540.0,13.9,0.715
4.97,680.0,11.19,0.6497
4.4,660.0,8.5,0.79
1.0,601.0,2.07,0.802
4.9,494.0,13.67,0.726
7.3,714.0,13.2,0.768
6.8,693.0,13.26,0.741
6.6,640.0,14.23,0.719
6.4,756.0,11.85,0.72
5.8,709.0,11.6,0.706
5.7,664.0,12.35,0.697
6.67,680.0,14.91,0.66
7.31,690.0,15.88,0.67
6.48,700.0,13.23,0.7
6.85,680.0,14.82,0.68
6.29,670.0,13.52,0.69
5.53,660.0,12.27,0.68
5.55,720.0,11.07,0.7
4.91,690.0,10.23,0.7
7.8,769.0,13.98,0.73
6.6,744.0,12.58,0.71
6.19,787.0,11.18,0.7
6.32,741.0,12.47,0.68
4.96,779.0,8.54,0.75
5.23,677.0,11.28,0.69
6.82,715.0,14.37,0.66
5.12,633.0,12.35,0.66
6.34,721.0,13.35,0.66
2.43,510.0,7.06,0.67
6.4,720.0,14.55,0.62
7.1,762.0,13.54,0.69
2.82,715.0,5.73,0.69
6.53,768.0,11.2,0.75
7.44,691.0,15.2,0.7
3.78,584.0,9.43,0.69
4.41,592.0,10.84,0.69
2.48,505.0,7.39,0.68
2.13,544.0,5.95,0.66
2.47,551.0,6.36,0.7
2.04,536.0,5.45,0.7
4.6,660.0,11.12,0.63
5.6,670.0,13.66,0.61
2.04,570.0,5.99,0.6
6.22,690.0,14.42,0.63
5.22,710.0,11.65,0.63
4.24,630.0,10.9,0.62
4.8,710.0,11.12,0.61
4.49,650.0,10.73,0.64
2.22,590.0,6.2,0.61
4.92,690.0,11.9,0.6
5.08,720.0,11.47,0.61
4.91,740.0,10.73,0.62
5.02,650.0,11.79,0.651
6.87,723.0,14.97,0.635
8.18,775.0,15.32,0.689
8.08,797.0,14.75,0.687
5.87,716.0,12.08,0.68
7.57,799.0,13.31,0.712
6.72,829.0,12.38,0.655
6.13,767.0,12.43,0.643
5.12,742.0,9.68,0.713
3.98,748.0,7.62,0.698
4.43,682.0,10.115,0.642
2.4,660.0,4.83,0.74
6.5,730.0,12.82,0.69
5.43,760.0,11.03,0.65
5.01,720.0,11.93,0.58
6.3,710.0,14.48,0.61
6.21,700.0,13.47,0.66
5.01,700.0,12.09,0.59
5.63,690.0,13.2,0.62
5.45,680.0,12.91,0.62
6.55,826.0,12.18,0.65
5.51,793.0,10.76,0.64
2.69,711.0,5.27,0.72
5.76,804.0,11.41,0.63
6.29,789.0,12.62,0.63
5.84,759.0,11.82,0.65
3.61,759.0,5.94,0.64
3.92,743.0,6.81,0.62
5.3,759.0,12.2,0.58
6.1,746.0,14.1,0.58
5.25,755.0,11.68,0.6
4.1,804.0,9.1,0.56
4.6,781.0,10.7,0.55
1.74,673.0,4.1,0.63
2.24,559.0,5.93,0.676
5.62,672.0,12.01,0.696
7.87,717.0,16.13,0.681
7.98,746.0,16.65,0.642
8.07,783.0,15.18,0.679
5.73,802.0,10.35,0.69
4.54,768.0,8.47,0.7
4.79,785.0,8.65,0.71
4.53,773.0,8.56,0.69
6.47,681.0,14.17,0.67
5.89,671.0,12.53,0.7
4.85,625.0,10.63,0.73
6.79,682.0,14.43,0.69
6.02,680.0,12.64,0.7
4.9,635.0,10.86,0.71
6.06,691.0,12.75,0.69
2.91,709.0,6.13,0.67
4.36,610.0,9.99,0.71
5.77,730.3,11.35,0.6966
5.43,693.8,11.29,0.6938
5.36,706.6,11.33,0.6693
6.19,748.2,11.83,0.6999
6.02,734.6,11.9,0.689
6.09,745.7,11.68,0.6995
6.32,724.5,12.05,0.7233
6.58,771.7,12.18,0.7002
5.29,751.5,9.47,0.7431
1.3,620.0,2.75,0.77
4.07,660.0,8.36,0.74
3.88,650.0,8.03,0.75
3.21,660.0,6.5,0.75
1.83,587.0,4.45,0.7
2.1,570.0,4.7,0.78
4.03,747.0,6.64,0.65
1.64,689.0,2.86,0.66
4.22,750.0,7.04,0.64
2.04,729.0,3.24,0.69
4.33,753.0,7.11,0.65
2.53,732.0,4.23,0.65
3.82,749.0,6.41,0.63
3.8,655.0,8.2,0.71
7.33,830.0,12.69,0.69
8.36,850.0,13.9,0.71
8.06,850.0,13.81,0.69
7.88,830.0,13.56,0.7
6.49,820.0,11.63,0.68
6.23,670.0,14.06,0.66
7.47,730.0,15.08,0.68
7.05,700.0,14.53,0.7
7.04,700.0,14.33,0.71
5.31,680.0,12.5,0.62
3.94,570.0,10.29,0.67
6.8,690.0,14.29,0.69
5.44,660.0,12.2,0.68
6.37,690.0,13.86,0.67
4.86,650.0,11.75,0.64
5.31,673.0,12.76,0.62
4.07,577.0,11.87,0.59
5.42,642.0,14.79,0.57
6.86,726.0,15.3,0.62
4.39,622.0,11.15,0.63
3.54,599.0,9.86,0.6
5.02,664.0,12.54,0.6
