VOC,JSC,FF,PCE,Electrolyte,Semiconductor,Active area,Dye loading,Co-adsorbent,Co-sensitizer,Has_Coadsorbent,Has_Cosensitizer
730.0,14.7,0.7,7.5,0.6 M DMPImI-0.1 M LiI-0.05 M I2-2.0 M TBP in AN,TiO2 film (14 uM thick),0.25,-,40  mM DCA,-,1,0
616.0,15.22,0.757,7.09,"0.6 m 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.5 m 4-tert-butylpyridine (TBP), 0.05 m I2 and 0.1 m LiI in CH3CN","TiO2 film (14 um, 20 nm particle +4um scattering layer )",0.16,97 nmol/cm2,40 mM DCA,-,1,0
677.0,16.76,0.753,8.54,"0.6 m 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.5 m 4-tert-butylpyridine (TBP), 0.05 m I2 and 0.1 m LiI in CH3CN","TiO2 film (14 um, 20 nm particle +4um scattering layer )",0.16,75 nmol/cm2,1 mM CCCC[C@@H](COc1ccc(cc1)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)C(=O)O)ccc(c1)c1ccc(cc1)OC[C@H](CCCC)CC)CC,-,1,0
740.0,16.56,0.73,8.95,"0.6 m 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.5 m 4-tert-butylpyridine (TBP), 0.05 m I2 and 0.1 m LiI in CH3CN","TiO2 film (14 um, 20 nm particle +4um scattering layer )",0.16,57 nmol/cm2,1 mM CCCC[C@@H](COc1ccc(cc1)c1ccc2c(c1)Sc1c(N2[C@@H]2CC=C(C=C2)c2ccc(cc2)C(=O)O)ccc(c1)c1ccc(cc1)OC[C@H](CCCC)CC)CC,-,1,0
715.0,16.92,0.734,8.88,"0.6 m 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.5 m 4-tert-butylpyridine (TBP), 0.05 m I2 and 0.1 m LiI in CH3CN","TiO2 film (14 um, 20 nm particle +4um scattering layer )",0.16,-,1 mM C(C)C(COC1=CC=C(C=C1)C=1C=CC=2N(C3=CC=C(C=C3C2C1)C1=CC=C(C=C1)OCC(CCCC)CC)C1=CC=C(C(=O)O)C=C1)CCCC,-,1,0
702.0,15.38,0.7848,8.47,"0.6 M DMPII, 0.5 M TBP, 0.05 M I2 and 0.1M LiI in CH3CN","TiO2 film (14 um, 20 nm particle +4um scattering layer )",0.16,-,7 mM CC1(C2=CC=CC=C2C=2C=CC(=CC12)N(C1=CC=C(C(=O)O)C=C1)C1=CC=2C(C3=CC=CC=C3C2C=C1)(C)C)C,-,1,0
663.0,18.01,0.7616,9.09,"0.6 M DMPII, 0.5 M TBP, 0.05 M I2 and 0.1M LiI in CH3CN","TiO2 film (14 um, 13 nm particle +4um scattering layer )",0.16,-,7 mM CC1(C2=CC=CC=C2C=2C=CC(=CC12)N(C1=CC=C(C(=O)O)C=C1)C1=CC=2C(C3=CC=CC=C3C2C=C1)(C)C)C,-,1,0
690.0,9.79,0.71,4.78,"0.3 M 1-methyl-3-propylimidazolium iodide (MPII), 0.03 M I2 , 0.07 M LiI, 0.1 M guanidinium thiocyanate and 0.4 M 4-tert-butylpyridine (TBP)",TiO2 film (18um thick ),0.16,-,-,-,0,0
554.0,2.98,0.63,1.04,"0.5 M 1-butyl-3-methylimidazolium iodide, 0.10 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile","TiO2 film (6 um,+4um scattering layer )",0.25,117 nmol/cm2,-,-,0,0
704.0,4.57,0.724,2.33,"0.5 M 1-butyl-3-methylimidazolium iodide, 0.10 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile","TiO2 film (6 um,+4um scattering layer )",0.25,212 nmol/cm2,-,-,0,0
693.0,3.37,0.705,1.64,"0.5 M 1-butyl-3-methylimidazolium iodide, 0.10 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile","TiO2 film (6 um,+4um scattering layer )",0.25,212 nmol/cm2,5 mM CDCA,-,1,0
687.0,5.63,0.695,2.69,"0.5 M 1-butyl-3-methylimidazolium iodide, 0.10 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile","TiO2 film (6 um,+4um scattering layer )",0.25,202 nmol/cm2,-,-,0,0
711.0,6.21,0.729,3.22,"0.5 M 1-butyl-3-methylimidazolium iodide, 0.10 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile","TiO2 film (6 um,+4um scattering layer )",0.25,202 nmol/cm2,5 mM CDCA,-,1,0
581.0,14.66,0.686,5.97,"0.6 m 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.5 m 4-tert-butylpyridine (TBP), 0.05 m I2 and 0.1 m LiI in CH3CN","TiO2 film (14 um, 20 nm particle +4um scattering layer )",0.16,187 nmol/cm2,-,-,0,0
756.0,8.98,0.69,4.66,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.10 M guanidinium thiocyanate, 0.03 M I2 , 0.5 M tert-butylpyridine in acetonitrile and valeronitrile (85:15)",TiO2 (20 nm particle size),,-,-,-,0,0
580.0,12.2,0.68,4.82,"0.6 M 1,2-dimethyl-3-propyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile","TiO2 film (5 um,+4um scattering layer )",,230 nmol/cm2,-,-,0,0
580.0,14.3,0.72,5.97,"0.6 M 1,2-dimethyl-3-propyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile","TiO2 film (5 um,+4um scattering layer )",,130 nmol/cm2,40 mM DCA,-,1,0
550.0,10.8,0.66,3.93,"0.6 M 1,2-dimethyl-3-propyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile","TiO2 film (5 um,+4um scattering layer )",,220 nmol/cm2,-,-,0,0
