PCE,VOC,JSC,FF
0.06,90.0,1.74,0.38
0.46,450.0,1.34,0.76
0.06,105.0,1.59,0.359
0.058,115.0,1.39,0.363
0.053,113.0,1.38,0.34
0.093,125.0,2.25,0.331
0.22,420.0,0.96,0.55
0.2,376.0,0.6,0.72
0.2,344.0,0.7,0.7
8.02,764.0,16.2,0.45
6.8,774.0,14.19,0.45
2.7,390.0,16.3,0.43
3.4,480.0,14.9,0.48
3.22,811.0,8.95,0.32
0.36,540.0,1.34,0.5
0.19,510.0,0.8,0.48
0.05,95.0,1.48,0.36
0.06,97.0,1.6,0.38
0.14,109.0,3.7,0.35
0.05,95.0,1.58,0.35
0.2,106.0,5.87,0.31
0.28,550.0,0.91,0.565
0.19,520.0,0.55,0.675
0.39,580.0,1.08,0.615
4.33,414.0,21.67,0.4835
3.9,412.0,20.63,0.4593
2.14,372.0,11.94,0.4841
0.85,343.0,4.19,0.5877
1.47,358.0,8.38,0.4913
0.98,329.0,4.99,0.5934
1.2,320.0,6.83,0.5493
8.2,1010.0,13.8,0.59
6.0,1035.0,9.4,0.62
1.66,480.0,8.34,0.41
0.32,510.0,1.1,0.54
0.34,530.0,1.1,0.58
0.35,509.94,1.24,0.476
1.18,640.89,4.24,0.369
2.62,459.0,15.21,0.375
2.98,543.0,12.02,0.457
1.31,407.0,8.01,0.402
0.046,300.0,0.28,0.53
0.45,344.0,2.6,0.51
1.2,405.0,6.0,0.49
1.76,330.0,13.39,0.41
1.58,350.0,7.21,0.64
5.8,540.0,4.34,0.49
7.62,540.0,22.1,0.48
0.06,360.0,0.34,0.462
0.07,420.0,0.32,0.516
0.07,310.0,0.4,0.532
0.11,460.0,0.39,0.64
0.46,550.0,1.26,0.66
7.62,540.0,22.1,0.48
6.74,0.642,14.8,0.71
1.87,0.49,7.7,0.47
1.93,0.401,8.52,0.533
1.22,0.458,4.87,0.519
0.8,0.393,3.32,0.582
1.36,0.412,7.86,0.396
1.49,0.454,8.46,0.367
1.87,0.432,11.01,0.372
1.65,0.406,8.09,0.475
1.39,0.406,7.02,0.462
1.34,0.394,6.66,0.482
2.1,0.401,12.42,0.492
1.93,0.401,9.82,0.533
2.27,0.397,7.8,0.582
2.6,0.383,4.48,0.52
2.19,0.37,2.02,0.703
4.9,424.0,21.4,0.49
0.12,250.0,0.77,0.6
0.14,220.0,1.12,0.57
0.17,220.0,1.46,0.54
0.32,230.0,2.47,0.55
0.1,220.0,0.81,0.57
0.04,200.0,0.54,0.36
0.02,190.0,0.24,0.51
2.29,490.0,9.78,0.48
4.8,500.0,14.5,0.49
0.24,300.0,2.69,0.3
0.13,390.0,0.59,0.6
0.17,350.0,1.33,0.37
0.11,270.0,1.08,0.38
0.07,310.0,0.55,0.39
0.07,330.0,0.93,0.24
0.06,170.0,1.47,0.26
0.04,250.0,0.62,0.25
0.23,410.0,1.11,0.51
0.03,312.0,0.28,0.34
0.02,390.0,0.12,0.38
0.31,860.0,0.54,0.6585
0.34,840.0,0.61,0.6471
0.2,455.0,0.907,0.48
0.42,450.0,1.26,0.75
0.22,510.0,0.69,0.64
0.13,290.0,0.78,0.56
0.47,330.0,2.65,0.55
0.3,520.0,0.78,0.74
0.11,450.0,0.31,0.83
0.37,510.0,1.01,0.71
0.2,420.0,0.84,0.579
0.38,346.0,0.25,0.464
5.64,650.0,18.58,0.47
4.45,630.0,15.87,0.44
4.65,640.0,15.94,0.45
3.63,670.0,11.98,0.45
0.16,660.0,0.58,0.43
1.26,329.0,7.11,0.54
1.36,333.0,7.66,0.52
4.77,630.0,15.6,0.49
0.14,450.0,0.51,0.6
0.102,525.0,0.584,0.3349
0.106,462.0,0.569,0.4042
0.0013,391.0,0.013,0.2738
2.9,700.0,8.8,0.47
0.133,467.0,0.813,0.3524
0.33,470.0,1.08,0.65
6.57,800.0,18.48,0.45
4.54,660.0,14.82,0.47
8.04,710.0,22.88,0.49
4.2,600.0,15.29,0.46
2.55,760.0,6.81,0.48
3.0,500.0,5.3,0.47
2.9,470.0,5.5,0.46
1.3,390.0,3.85,0.45
2.32,671.0,25.5,0.68
2.6,650.0,9.0,0.44
3.1,810.0,8.1,0.48
3.5,1230.0,5.11,0.56
3.0,1050.0,5.21,0.54
1.7,430.0,4.4,0.38
3.4,520.0,5.8,0.47
9.5,640.0,27.25,0.41
2.42,362.0,0.008,0.541
2.51,366.0,0.008,0.557
3.9,1390.0,5.1,0.55
3.8,1370.0,4.9,0.56
3.7,1500.0,4.41,0.54
3.9,1450.0,4.77,0.56
3.7,1310.0,5.02,0.56
0.3,500.0,0.91,0.65
6.6,750.0,17.53,0.427
3.6,792.0,8.18,0.39
3.0,780.0,12.0,0.32
0.25,468.0,1.03,0.52
4.69,600.0,16.36,0.48
2.51,333.0,13.0,0.582
2.36,328.0,11.5,0.625
2.28,454.0,10.6,0.473
2.04,315.0,11.1,0.587
1.97,310.0,11.1,0.57
1.85,296.0,11.3,0.554
1.8,310.0,9.9,0.585
1.82,305.0,10.2,0.585
