Formula,A_ion,B_ion,X_ion,Bandgap,ETL,HTL,Backcontact,Antisolvent,Solvent,Solv_annel,Anneal_temp,Dep_procedure,Synth_atm,Cell_area,Is_module,Voc,Jsc,FF,PCE,entry_id
FA0.6MA0.4Pb0.4Sn0.6Br0.48I2.52,FA; MA,Pb; Sn,Br; I,1.32,C60 | BCP,PEDOT:PSS,Ag,Diethyl ether,DMF; DMSO,False,60; 100,Spin-coating,N2,0.11,False,0.884,27.95,0.722,17.84,IXQDyvDbj3vX4DF7nSzWaYle-qCW
CsPbBrI2,Cs,Pb,Br; I,1.92,PCBM-60 | C60 | BCP,P3CT,Ag,Unknown,DMSO,False,25; 300,Spin-coating,N2,0.09,False,1.11,15.06,0.71,11.97,IXWHLixDEGnWQtg6al2YW7wy5Wfh
MAPbI3,MA,Pb,I,1.6,TiO2-c,Spiro-MeOTAD,Ag | Ni,Chlorobenzene,DMF,False,100.0,Spin-coating,Ar,0.0625,False,1.0490000000000002,17.9,0.56,10.69,IXXghMgs8wXygnVOCR8k_aPd8jfC
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Diethyl ether,DMF; DMSO,False,50; 100,Spin-coating,N2,1.0,False,1.0,20.3,0.6,12.1,IX_gY8KmYgxY3Nau3Hin7fcMPCbs
MAPbI3,MA,Pb,I,1.5,PCBM-60 | BCP,NiO-c,Ag,Chlorobenzene,DMSO; GBL,False,100.0,Spin-coating,Unknown,0.25,False,1.001,20.53,0.7879999999999999,16.18,IXz79wI7_hBl9FNfDTOsQrD4peUR
FA0.9MA0.1PbBr0.03I2.97,FA; MA,Pb,Br; I,,SnO2-np,NiO-np | Spiro-MeOTAD,Au,Unknown,DMF; DMSO >> IPA,False,70.0 | 150.0,Spin-coating >> Spin-coating,Air >> Air,0.0896,False,1.11,23.5,0.775,20.9,IY72RTAzE8_z7145vwo71wQGLZmD
MACo0.031Pb0.969I3,MA,Co; Pb,I,1.56,PCBM-60 | BCP,PEDOT:PSS,Ag,Unknown,DMF; HPA,False,100.0,Spin-coating,N2,0.0919,False,1.08,17.5,0.7509999999999999,14.3,IY795HOolD-W7C1-dNMx7AzW_Ht9
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Unknown,DMF >> DMF >> Ethanol,False,Unknown >> 85.0 >> 85.0,Spin-coating >> Spin-coating >> Spray-coating,Unknown,0.16,False,0.952,21.6,0.733,15.0,IYBRYoJuexlj_ucYmWKSO8l3ezIs
FAPbBr0.45I2.55,FA,Pb,Br; I,,TiO2-c,Spiro-MeOTAD,Au,Unknown,DMF; DMSO >> IPA,False,100.0 >> 150.0,Ultrasonic spray >> CBD,Air >> Air,1.0,True,0.973,21.15,0.5489999999999999,11.3,IYDpYMTeT8Ya_OI5LtVEvV3kFKqw
MAPbI3,MA,Pb,I,1.6,TiO2-c,Spiro-MeOTAD,Au,Unknown,DMF,False,150.0,Doctor blading,N2,0.09,False,1.08,22.33,0.742,17.15,IYF7ge8f7rKpgzmRM6DSCBGkQkmk
Cs0.05FA0.80MA0.15PbBr0.25I2.75,Cs; FA; MA,Pb,Br; I,,SnO2-np,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO,False,150.0,Spin-coating,N2,0.1,False,1.07,22.9,0.68,16.6,IYMEZwP-kHZ4k0G5-oiqimu3njJ7
MAPbBr0.15I2.85,MA,Pb,Br; I,,TiO2-c,Spiro-MeOTAD,Au,N2,DMF,False,100.0,Spin-coating,Unknown,0.09,False,0.9,18.7,0.53,10.0,IYS_tEl-QtmvyEZA3jZxZGncJhKH
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Unknown,DMF >> DMF; IPA,False,Unknown >> 100.0,Spin-coating >> CBD,Unknown,0.159,False,0.972,17.77,0.618,10.85,IYSh0ddmWEnoGiIx7KJRtqcXiO1g
MAPbI3,MA,Pb,I,1.6,C60,Spiro-MeOTAD,MoO3 | Ag,Chlorobenzene,DMF; DMSO,False,60; 85,Spin-coating,N2,0.04,False,0.951,20.73,0.762,15.02,IYUTI1Dty4tWmAUOe_Kxt44EJeNY
MAPbI3,MA,Pb,I,1.6,TiO2-c,Spiro-MeOTAD,Ag,Unknown,DMF >> IPA,False,Unknown >> 100,Spin-coating >> Spin-coating,Unknown,0.1,False,0.94,15.8,0.57,8.01,IYVF1S4xSL4MlQ5DH2NjIcNWnLGB
MAPbI3,MA,Pb,I,1.5,PCBM-60 | BCP,MoOx,Ag,Chlorobenzene,DMF; DMSO,False,60; 80,Spin-coating,N2,0.09,False,1.02,17.06,0.693,12.06,IYaybVf4iNLFn7Xoa04g1DcV9z8Q
Cs0.05FA0.8265MA0.1235PbBr0.39I2.61,Cs; FA; MA,Pb,Br; I,,SnO2-c,Spiro-MeOTAD,Au,Unknown,Unknown,False,Unknown,Spin-coating,N2,0.16,False,1.152,22.28,0.7440000000000001,19.11,IYcqHVvhGO-N2s0jd27o3tzhtvVL
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Unknown,DMF >> IPA,False,Unknown,Spin-coating >> CBD,N2 >> N2,0.1,False,0.877,20.122,0.762,12.81,IYgTXMYnwsStBFiA1Tac8SO35ZTE
MAPbI3,MA,Pb,I,1.6,ZnO-c | ZnO-mp,Spiro-MeOTAD,Au,Unknown,DMF >> IPA,False,Unknown,Spin-coating >> CBD,N2 >> N2,0.07,False,0.84,19.1,0.58,9.3,IYtL4yOHAIB5zWpSFHqj6hMgbuVD
MAPbI3,MA,Pb,I,1.5,C60,Spiro-MeOTAD,Au,Unknown,DMF >> IPA,False,100.0 >> 55.0,Spin-coating >> CBD,N2 >> N2,0.08,False,1.02,17.67,0.675,12.21,IZ-yrzltvIhnqS6tGTRXyLXVQdLV
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp | ZrO2-mp,none,Carbon,Unknown,GBL,False,50,Drop-infiltration,Air,0.1,False,0.9,19.15,0.615,10.6,IZ2n3hq6PYScO5L6QamdoNDjV7_7
MAPbI3,MA,Pb,I,1.57,TiO2-c,Spiro-MeOTAD,Ag,Unknown,DMF >> IPA,False,70.0 >> 100.0,Spin-coating >> Air brush spray,Air >> Air,0.15,False,0.99,16.9,0.59,9.1,IZ59HdG5jcgvaHFkHyJm9kpTV7bV
MAPbI3,MA,Pb,I,1.6,ZnO-c,Spiro-MeOTAD,Au,Toluene,GBL,False,100.0,Spin-coating,N2,0.081,False,1.12,18.82,0.693,14.56,IZCIdV9WHjmcpFkow_LyAEdCicV0
MAPbI3,MA,Pb,I,1.6,PCBM-60 | Bphen,ZnO-nw | PEDOT:PSS,Ag,2-Butanol,DMF; DMSO,True,100.0,Spin-coating,N2,0.04,False,0.97,19.81,0.76,14.73,IZCuYQ5xHx0JkxsuG7K2R0-WHXk1
MAPbI3,MA,Pb,I,1.6,TiO2-c,Spiro-MeOTAD,Au,Unknown,GBL,False,120.0,Spin-coating,Unknown,0.81,False,1.09,18.33,0.7240000000000001,14.42,IZHQDjesYrUjt7Bjmj8KraCMO_sy
CsPbBr3,Cs,Pb,Br,,TiO2-c | TiO2-mp,none,Carbon,Unknown,DMF >> Methanol,False,100.0 >> 250.0,Spin-coating >> Spin-coating,N2 >> N2,0.09,False,1.46,6.81,0.769,7.62,IZIHn8H7ON-lIYFJfJrbXsEDfYJI
MAPbI3,MA,Pb,I,1.6,PCBM-60 | BCP,PEDOT:PSS,Ag,Chlorobenzene,DMF; DMSO,False,50; 85,Spin-coating,N2,0.09,False,1.073,21.498,0.7340000000000001,16.93,IZKbOvMXqTZoGXKsGbWPkdnTy2Iv
Cs0.05FA0.79MA0.16PbBr0.41I2.59,Cs; FA; MA,Pb,Br; I,,PCBM-60 | PEIE,NiO-c,Ag,Chloroform,DMF; DMSO; NMP,False,100.0,Spin-coating,N2,0.25,False,0.95,18.8,0.7290000000000001,13.0,IZLPW5idxZOYIcRc3Q0oyRlh-zoi
MAPbI3,MA,Pb,I,,PCBM-60 | Bphen,PEDOT:PSS | V2O5,Ag,Unknown,DMF,False,Unknown,Spin-coating,Unknown,0.0725,False,1.01,20.9,0.67,14.48,IZSPNrvUVisBqvc9lTK6KbaDF-fn
MAPbI3,MA,Pb,I,1.6,PCBM-60 | bis-C60,NiO-c,Ag,Chlorobenzene,DMF; DMSO,False,100.0,Spin-coating,Unknown,0.1,False,1.03,19.55,0.6,12.0,IZVo9Gun9gs3lJs6Byl4mzdyYqDC
Cs0.2FA0.8PbBr0.16I2.84,Cs; FA,Pb,Br; I,,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO,False,100.0,Spin-coating,Unknown,0.16,False,1.073,21.9,0.742,17.35,IZX1MTYR8HdlXMfBLma1LXFkDUGt
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Chlorobenzene,DMSO,False,90.0,Spin-coating,Ar,0.1,False,0.99,20.37,0.7,14.12,IZiXeYIoAX3ex3p1mt8k6J2GoQgm
Cs0.02FA0.38MA0.6PbBr0.025I2.975,Cs; FA; MA,Pb,Br; I,,PCBM-60,PEDOT:PSS,Ca | Al,Unknown,DMF,False,100.0,Slot-die coating,Air,0.1,False,1.0,21.35,0.6859999999999999,14.66,I_5BciOiTbsh0EiO05uJz6FiJKrJ
MAPbI,MA,Pb,I,1.58,C60 | BCP,PEDOT:PSS,Cu,Ethyl acetate,DMF; DMSO,False,100,Spin-coating,N2,0.16,False,0.613,19.163,0.609,7.15,I_7hwt3RTc0BsDOsDJLCysE8uorl
MAPbI3,MA,Pb,I,1.6,IDT6CN | C60 | BCP,P3CT-Na,Ag,Chlorobenzene,DMF; DMSO,False,60; 80,Spin-coating,N2,0.09,False,1.067,21.78,0.81,18.89,I_BLR1ctjysKSFDhtglulZ0_PbYM
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp | ZrO2-mp,none,Carbon,Unknown,DMF,False,100.0,Drop-infiltration,Dry air,0.13,False,0.94,21.45,0.77,15.45,I_HFF3RbtLHP3nCNT0tdYeqJA0Lg
MAPbI3,MA,Pb,I,,TiO2-3D,Spiro-MeOTAD,Ag,Unknown,DMF >> IPA,False,25; 100; 25 >> 100,Spin-coating >> Dipp-coating,Unknown,0.0625,False,0.97,21.28,0.57,11.84,I_Hv3F8QhBArhZz_lid599HYDrt8
MAPbI3,MA,Pb,I,1.6,PCBM-60 | C3-CBL,X1,Ag,Diethyl ether,DMF; DMSO,False,60.0; 100,Spin-coating,Unknown,0.09,False,1.04,20.24,0.755,15.9,I_INVRY8BgPKgDSYf9Zwz7r0SUti
MAPbI3,MA,Pb,I,1.6,PCBM-60,PEDOT:PSS,Ag,Chlorobenzene,DMF; DMSO,False,95.0,Spin-coating,Unknown,0.09,False,1.06,21.18,0.77,17.23,I__1ckag4lDZDzI6lycEIRR-gTAh
MAPbI3,MA,Pb,I,1.3,PCBM-60 | PEI,CuI,Ag,Chlorobenzene,DMF; DMSO,False,100,Spin-coating,N2,0.05,False,1.04,19.9,0.69,14.3,I__lsPdj3H8ZQV2exnhNb3y3Rpje
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-nanofibers,Spiro-MeOTAD,Au,Chlorobenzene,DMSO,False,95.0,Spin-coating,Unknown,0.081,False,0.93,19.34,0.61,11.05,I_iwogfnANsLvYp_E5-NiYTYbStQ
MAPbI3,MA,Pb,I,1.6,TiO2-c,Spiro-MeOTAD,Ag,Chlorobenzene,DMF,False,100.0,Spin-coating,Dry air,0.06,False,0.99,19.6,0.72,13.94,I_khcg_7IIBEc1TARRzZHMGTmw_5
FA0.8K0.05MA0.15PbBr0.55I2.55,FA; K; MA,Pb,Br; I,1.59,TiO2-c,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO,False,100,Spin-coating,N2,0.1,False,1.06,22.95,0.7040000000000001,17.15,I_nIcNYSQek9dEjd94cGS7EiwZxf
MAPbI3,MA,Pb,I,1.6,PCBM-60 | PEIE,PEDOT:PSS,Ag,Toluene,DMF,False,100.0,Spin-coating,N2,0.1,False,0.84,11.56,0.76,7.4,IaG7jSfSrj5Pp0vmLCXX1Y9CInZ6
CsPbBrI2,Cs,Pb,Br; I,,TiO2-c,CuPc,Carbon,Unknown,DMSO,False,280.0,Spin-coating,Unknown,0.071,False,1.16,9.65,0.71,7.97,IadmF20iOXT0R4sTPeIx5piZnozN
MAPbI3,MA,Pb,I,1.6,TiO2-c,Spiro-MeOTAD,Au,N2,DMF,False,100.0,Spin-coating,Unknown,0.16,False,0.934,21.06,0.68,13.44,Iai2SsmjeKGIoYCq4d7IIZkGQIAt
MAPbI3,MA,Pb,I,1.6,SnO2-c,Spiro-MeOTAD,Au,Diethyl ether,DMF; DMSO,False,100.0,Spin-coating,Unknown,0.1,False,1.13,22.4,0.7,18.2,IaogE9MDIMVmYOihldMp20h-hjwu
Cs0.07FA0.9MA0.03PbBr0.24I2.76,Cs; FA; MA,Pb,Br; I,,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO,False,150.0,Spin-coating,Unknown,0.16,False,1.071,24.38,0.778,19.8,IbJW9y-JTsuIhtJmRMHyhP_PMgjx
MAPbI3,MA,Pb,I,1.614,PCBM-60 | BCP,PTAA,Ag,Unknown,DMF; DMSO >> IPA >> IPA,False,25 >> 100 >> 70,Spin-coating >> Spin-coating >> Spin-coating,N2 >> N2 >> N2,,False,1.1,22.0,0.75,18.07,IbK0CWefRQo-cjv6YZowXyAOTLHX
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Ag,Unknown,DMF >> none,False,100.0 >> 165.0,Spin-coating >> Diffusion-gas reaction,N2 >> MAI; N2,0.16,False,0.98,18.28,0.75,13.42,IbRRlETAkpiWCbdQydBkYvCRUly4
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Diethyl ether,DMF; DMSO,False,130.0,Spin-coating,Unknown,0.14,False,1.052,22.759,0.69,16.43,IbYMtvVqprO_bDnGttESUd0qStIT
MAPbI3,MA,Pb,I,1.6,PCBM-60,P3HT; PFN,Al,Diethyl ether,DMF; DMSO,False,100.0,Spin-coating,Unknown,0.04,False,0.87,18.31,0.79,12.68,IbY_TOx0tbuwX43f7tUnmKJLGAK9
Cs0.05FA0.81MA0.14PbBr0.42I2.58,Cs; FA; MA,Pb,Br; I,1.61,TiO2-c | TiO2-mp,none,Carbon,Chlorobenzene,DMF; DMSO,False,100; 100,Spin-coating,N2,1.0,False,1.02,22.74,0.58,13.37,Ibcp6lNG6RKeWLmQ580Dk1mbCgER
MAPbI3,MA,Pb,I,1.6,PCBM-60 | C60 | BCP,PEDOT:PSS,Ag,Unknown,DMF,False,90.0,Spin-coating,N2,0.06,False,0.94,17.67,0.63,10.46,IbfFyfM4_u47-m3ZcM82yxlHbXnF
MAPbI3,MA,Pb,I,1.6,TiO2-c,Spiro-MeOTAD,Ag,Unknown,DMF,False,90; 120,Spin-coating,N2,0.09,False,1.01,18.6,0.72,13.6,IbiHqvVqxUD5l2b25QlWTD-3Y_Gd
MAPbI3,MA,Pb,I,1.5,PCBM-60 | ZnO-np,PEDOT:PSS,Al,Unknown,DMF,False,100.0,Spin-coating,N2,0.0725,False,0.96,19.92,0.7709999999999999,14.79,Ibki84H4rLWX2dcoN2lT09Ad5OjE
MAPbI3,MA,Pb,I,1.6,CdSe-QDs,Spiro-MeOTAD,Ag,Unknown,Unknown,False,90,Spin-coating,Unknown,0.052,False,0.95,16.7,0.5,7.9,IbmEPnqoC_KYa6-QZU031jOo0A4e
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Unknown,DMF >> none,False,110.0 >> 70.0,Spin-coating >> Gas reaction,Air >> Air; MACl,0.1,False,1.09,13.79,0.57,8.6,Ibsj1eTpw6MFY2utpAFplqQ79qlH
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp | ZrO2-mp,Vox,Carbon,Unknown,GBL,False,75.0,Drop-infiltration,Ambient,0.1,False,0.931,23.7,0.7,15.56,Ic39dizcZRAcLUQsUlfVNN0lou6_
MAPbI3,MA,Pb,I,1.6,ZnO-c,Spiro-MeOTAD,Ag,Toluene,DMSO; GBL,False,100.0,Spin-coating,Unknown,0.1,False,0.98,18.7,0.617,11.3,Ic3SakvkI6qq3KDMoAlJOfkkVune
MAPbI3,MA,Pb,I,1.61,PCBM-60 | ZnMgO,NiMgO,Al,Vacuum,DMSO; GBL,False,100.0,Spin-coating,N2,1.0,False,1.08,20.2,0.73,16.0,Ic64T8Iyi9ql9bKzGogylO1ou6A6
MAPb0.97Sb0.03I3,MA,Pb; Sb,I,,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Unknown,GBL,False,100.0,Spin-coating,Air,0.09,False,0.843,19.2,0.56,9.07,IcB71cbQ3Jn4AFj-bcq5UwESeXwV
MAPbI3,MA,Pb,I,1.6,PCBM-60 | bis-C60,CuCo2O4,Ag,Chlorobenzene,DMF; DMSO,False,100.0,Spin-coating,Unknown,0.1,False,0.91,17.17,0.66,10.31,IcF-psiajiouKr_vhp0rCHSq9Nh2
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Ag,Unknown,DMSO,False,100.0,Spin-coating,N2,0.05,False,1.1,14.9,0.78,11.2,IcNRNMQ-GOQh9KH2cXmPf2nGgNa4
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Ag,Chlorobenzene,DMF; DMSO,False,Unknown,Spin-coating,N2,1.02,False,1.08,20.74,0.71,15.9,IcgcXIXNWsAJo20BwYhwyr9w8UG_
FA0.81MA0.15PbBr0.45I2.51,FA; MA,Pb,Br; I,,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Vacuum,DMF; GBL,False,100.0,Spin-coating,Air,0.16,False,1.069,24.03,0.79,20.31,Icgl7tHtx7G4nEJIVgMxguU1gOV1
MAPbI3,MA,Pb,I,1.6,ZnO-c,Spiro-MeOTAD,Ag,Unknown,DMF >> IPA; TBP,False,70.0 >> 70.0,Spin-coating >> CBD,Unknown,0.1,False,1.062,17.9,0.6509999999999999,12.6,IciJfodw3CJW5ZucULo5apq_raHf
MAPbI3,MA,Pb,I,1.6,PCBM-60 | PEI,PEDOT:PSS,Ag,Unknown,DMF,False,Unknown >> 100.0,Spin-coating >> Spin-coating,Air >> N2,0.3,False,0.91,18.82,0.71,12.17,IcjUDoHI4UGr2rqIJOG6AvsVg1op
MAPbI3,MA,Pb,I,1.6,none,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO,False,150.0,Spin-coating,N2,0.1,False,1.04,22.58,0.58,13.87,IcmLTKQcWCeqHT8gM5gdvkHuJwNo
FA0.85MA0.15PbBr0.45I2.55,FA; MA,Pb,Br; I,,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO,False,100,Spin-coating,Unknown,0.09,False,,,,,Id-7pKjKSEJdsmyk9d9Ir0NwptYn
MAPbI3,MA,Pb,I,1.6,TiO2-c,Spiro-MeOTAD,Ag,Unknown,DMF >> IPA,False,Unknown >> 100.0,Spin-coating >> CBD,Unknown,0.1,False,1.01,21.5,0.68,14.76,Id03mSfKGs655-u0KwI6Lsy07LMW
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-029,Ag,Unknown,DMF; DMSO >> IPA,False,Unknown >> 150.0,Spin-coating >> Spin-coating,Unknown,0.105,False,1.07,22.07,0.7,16.6,Id5o5CqJLVY8XZxeM8cFcc_b4fJy
FA0.9MA0.1PbBr0.1I2.9,FA; MA,Pb,Br; I,1.56,SnO2-c,Spiro-MeOTAD,Au,Unknown,DMF; DMSO >> IPA,False,Unknown >> 150.0,Spin-coating >> Spin-coating,Dry air >> Dry air,0.125,False,1.03,22.21,0.763,17.66,IdPBkta4fgSRo4jiXDsySkHHGfib
MAPbI3,MA,Pb,I,1.6,C60,Spiro-MeOTAD,Ag,Unknown,none,False,Unknown,Co-evaporation,Vacuum,0.064,False,0.795,14.4,0.69,7.8,IdQLBo4ujWFXHRjgc__NfPC9zSi1
MAPbI3,MA,Pb,I,1.56,TiO2-c,Spiro-MeOTAD,Au,Unknown,none >> IPA,False,Unknown >> 70.0,Evaporation >> CBD,Vacuum >> Air,0.1,False,,,,7.9,IdWOAVkr8HPDLtnD9JB1Yxb_BTvD
MAPbI3,MA,Pb,I,1.6,TiO2-c,Spiro-MeOTAD,Ag,Unknown,Unknown,False,90,Spin-coating,Unknown,0.052,False,0.85,19.52,0.525,8.66,IdcwEhDL6uM2dDxWM4ONbZaoh9Te
MAPbI3,MA,Pb,I,1.6,PCBM-60 | BCP,NiO-c,Ag,Chlorobenzene,DMF,False,100.0,Spin-coating,N2,0.1,False,1.11,17.0,0.688,13.1,Ie96LPd8Bj6EYpqlxKvvlzVZGL7m
MAPbI3,MA,Pb,I,1.6,TiO2-c,3-hydroxypyridine | Spiro-MeOTAD,Au,Unknown,DMF,False,100.0,Spin-coating,N2,0.1,False,1.11,20.0,0.68,15.2,IeM-7EorseluGneEhajkaCvF2Cgg
Cs0.2FA0.8PbI3,Cs; FA,Pb,I,1.59,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO,False,150.0,Spin-coating,Dry air,0.16,False,1.06,23.79,0.765,19.37,IeN3XPzEImFxOjMmocv8OpfpNZqn
MAPbI3,MA,Pb,I,1.6,none,Spiro-MeOTAD,Au,Unknown,DMF >> IPA,False,70.0 >> 100.0,Spin-coating >> Spin-coating,Air >> Air,0.1,False,1.04,20.7,0.63,13.6,If8TZItRO5hTDFNDAGUjJZ0Ua0_d
FA0.83MA0.17PbBr0.51I2.49,FA; MA,Pb,Br; I,,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO,False,100.0,Spin-coating,N2,0.16,False,1.132,22.3,0.77,19.7,IfDwvpD48U-eq3xL81t-MxjAWx2_
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Unknown,DMF >> IPA,False,70.0 >> 70.0,Spin-coating >> CBD,Ambient >> Ambient,0.04,False,0.987,14.6,0.632,9.14,IfbQCXmwUFE15HnIqnPULwMBjy69
MAPbI3,MA,Pb,I,1.55,ZnO-c | PCBM-60,Spiro-MeOTAD,MoO3 | Ag,Chlorobenzene,DMF; DMSO,False,90.0,Spin-coating,Unknown,0.12,False,1.07,15.54,0.45,7.65,Iffo82ybugT2qrfgF4qLNeBwvryX
MAPbI3,MA,Pb,I,1.6,PCBM-60 | BCP,NiO-c,Ag,Chlorobenzene,DMF; DMSO,False,105.0,Spin-coating,N2,0.09,False,1.06,20.17,0.79,15.35,IgH3kLN4rezKHIrqOs_96bzfMrIg
MAPbI3,MA,Pb,I,1.6,PCBM-60 | Rhodamine 101,PEDOT:PSS,Ag,Unknown,DMF,False,90.0,Spin-coating,Dry air,0.1,False,0.92,19.08,0.738,13.02,IgSKt3c0yUGHqlh7863PNHj82iAf
FA0.9MA0.1PbBr0.03I2.97,FA; MA,Pb,Br; I,,SnO2-np,CH3-PEIA | Spiro-MeOTAD,Au,Unknown,DMF; DMSO >> IPA,False,70.0 | 140.0,Spin-coating >> Spin-coating,N2 >> N2,0.044,False,1.13,24.31,0.7759999999999999,21.3,IgVF79Y6Gar6hfxstmd8UEmf2PNV
MAPb1.0I3,MA,Pb,I,1.55,TiO2-c | PCBM-60,Spiro-MeOTAD,Au,Unknown,DMF,False,Unknown,Spin-coating,Unknown,0.14,False,1.04,21.8,0.77,17.64,IgVO1ON-5EwlzDFooV3AyhbCuf9X
MAPb1.0I3,MA,Pb,I,1.6,SnO2,Spiro-MeOTAD,Au,Unknown,DMF; DMSO,False,50; 100,Spin-coating,N2,0.16,False,1.07,21.2,0.7509999999999999,17.0,IgnH1_BfPIng5ej8ItEN1B6m9bF9
Cs0.05FA0.79MA0.16PbBr1.2I1.8,Cs; FA; MA,Pb,Br; I,,SnO2-np,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO,False,135,Spin-coating,N2,,False,1.23,19.07,0.74,17.33,IgyRrj11QwX5wDRfZqkQUNI-DbLb
MAPbI3,MA,Pb,I,1.6,TiO2-c,Dispiro-OMeTAD,Au,Chlorobenzene,DMF; DMSO,False,100.0,Spin-coating,N2,0.1,False,1.08,22.79,0.75,18.46,Igzu_CmH9x_gAgfnkEOc49he9iuQ
MAPbI3,MA,Pb,I,1.6,PCBM-60,TAPC,Ag,Unknown,DMF; DMSO >> IPA,False,Unknown >> 105.0,Spin-coating >> Spin-coating,Unknown,0.04,False,1.04,22.32,0.812,18.8,IhAKSRtkGWyacQvVlEKgxwrf-ZJr
MAPbI3,MA,Pb,I,1.6,4-DMABA | PCBM-60 | BCP,NiMgLiO,Ag,Diethyl ether,DMF; DMSO,False,100.0,Spin-coating,Unknown,0.09,False,1.11,22.38,0.8,19.87,IhC-IoqmYPB31PnWQBP3T7zA19Da
Cs0.05FA0.81MA0.14PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,,TiO2-c | TiO2-mp,H2Pc-1,Au,Chlorobenzene,DMF; DMSO,False,100.0,Spin-coating,Unknown,0.1,False,0.86,17.5,0.421,7.8,IhCdca471oupN9-RxbOd_wfPulQK
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Toluene,DMSO; GBL,False,50.0; 100.0,Spin-coating,Unknown,0.1,False,0.887,16.06,0.5920000000000001,8.44,IhNI1SaMnQPgbSTdMELehMU-tzuy
MAPbI3,MA,Pb,I,1.6,PCBM-70 | AZO-np,PEDOT:PSS,Al,Unknown,DMF,False,120.0,Spin-coating,N2,0.1,False,0.9,18.3,0.73,12.1,IhNMLw8bpjSxBfmC6E9axvNW99vc
MAPbI3,MA,Pb,I,1.6,ZnO-np,Spiro-MeOTAD,Au,Unknown,DMF >> IPA,False,120.0 >> 120.0,Spin-coating >> Spin-coating,Unknown,0.12,False,0.94,19.22,0.632,11.25,IhX6mjj-9Ndtwommsi34AiM4kZtX
MAPbI3,MA,Pb,I,1.6,PCBM-60 | Bphen,PEDOT:PSS,Ag,Unknown,DMF,False,100.0,Spin-coating,N2,0.1,False,0.99,19.3,0.69,13.18,IhwHFPr-fXNF93h67cLXVmgxwTqZ
CsPbI3,Cs,Pb,I,1.73,TiO2-c,Spiro-MeOTAD,Au,Unknown,DMF,False,150.0,Spin-coating,Unknown,0.12,False,1.13,13.59,0.65,9.98,Ii1EfHkjeWQgRSeZnc8iv8VsHTC7
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Diethyl ether,DMF; DMSO,False,130.0,Spin-coating,Unknown,0.14,False,1.06,23.643,0.72,18.03,Ii2UMmTa66MyI5xQFxRuCiJAjacl
FA0.2MA0.8PbI3,FA; MA,Pb,I,,NDI-BTH1,PEDOT:PSS,Ag,Toluene,DMSO; GBL,False,100.0,Spin-coating,N2,0.1,False,0.96,19.65,0.56,10.6,IiBYSaN0f-OXJXZL-qm1XOHepJ_B
Cs0.05FA0.79MA0.16PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,1.6,C60 | BCP,P3HT,Cu,Ethyl acetate,DMF; DMSO,False,100.0,Spin-coating,N2,0.06,False,0.99,20.2,0.755,15.0,IiKJdlhvROs8G3--HeEX6MrW_vDu
