Formula,A_ion,B_ion,X_ion,Bandgap,ETL,HTL,Backcontact,Antisolvent,Solvent,Solv_annel,Anneal_temp,Dep_procedure,Synth_atm,Cell_area,Is_module,Voc,Jsc,FF,PCE,entry_id
MAPbI3,MA,Pb,I,1.5,PFN; ZnO,Spiro-MeOTAD,Au,Unknown,DMF >> IPA,False,Unknown >> 70.0,Spin-coating >> CBD,Unknown,0.09,False,1.0,20.0,0.64,12.8,-2MiDsCVhb6Tgefb-PA8ljd2RN5B
MAPbI3,MA,Pb,I,1.58,PCBM-60 | BCP,PEDOT:PSS,Ag,Toluene,DMSO; GBL,False,100.0,Spin-coating,N2,0.12,False,0.93,15.94,0.72,10.7,-2SnHBkqHaj5mAgg-lpGRXkCkn3M
MAPbI3,MA,Pb,I,1.6,C60 | BCP,PMT,Ag,Chlorobenzene,DMF,False,100.0,Spin-coating,Unknown,0.1,False,0.8,20.8,0.7,11.5,-2anzhUTjTWy1BKW82C9I7eU3tVM
MAPbI3,MA,Pb,I,1.6,SnO2-c | PCBM-60,Spiro-MeOTAD,Au,Unknown,DMF; DMSO,False,100.0,Spin-coating,N2,0.08,False,1.11,22.44,0.782,18.42,-2ftPOPxzDTdyqgk_ZZ7DwgcWh9G
MAPbI3,MA,Pb,I,1.58,C60 | BCP,2PACz,Cu,N2,2-methoxyethanol,False,100,Slot-die coating,N2,0.16,False,1.085,19.778,0.718,14.89,-2khfF1ZpadycdfA_1kFr6tLYDVC
MAPbI3,MA,Pb,I,1.6,PCBM-60,CuSCN,Al,Chlorobenzene,DMF,False,100.0,Spin-coating,Unknown,0.05,False,0.98,18.3,0.631,11.7,-31pPlyLgDI6jps4eLOb09vvwHYK
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Chlorobenzene,GBL,False,100,Spin-coating,Air,0.1,False,1.01,17.3,0.664,11.6,-399oNlZHB5GQyMoXrfyWd8e_1rQ
Cs0.08FA0.77MA0.15PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,1.6,C60 | BCP,PEDOT:PSS,Cu,Ethyl acetate,DMF; DMSO,False,100,Spin-coating,N2,0.16,False,0.915,17.373,0.715,11.36,-3QEUHaf-qG4ZBNliGOImiX_rSzW
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Unknown,DMF >> IPA,False,100.0 >> 100.0,Spin-coating >> Spin-coating,Air >> Air,0.09,False,0.81,19.0,,,-3X-zrAktlMgUIIopsYmVS1kHBIq
MAPb0.75Sn0.25Br1.8I1.2,MA,Pb; Sn,Br; I,1.73,PCBM-60 | bis-C60,PEDOT:PSS,Ag,Toluene,DMSO; GBL,False,100.0,Spin-coating,Air,0.1,False,0.99,15.16,0.74,11.11,-3XC68jebr4VwQQLHP1Uai89RhTw
MAPbI3,MA,Pb,I,1.6,C60 | BCP,PEDOT:PSS,Al,Unknown,DMSO; GBL,False,100.0,Spin-coating,N2,0.11,False,0.83,21.7,0.68,12.21,-3Yiof1nBYp2p7wEKKcyqCw1oM4Z
